Date,Asia
1998-12,100.0
1999-01,105.5837472
1999-02,104.8660835
1999-03,121.5566788
1999-04,139.6811483
1999-05,145.6756844
1999-06,176.890157
1999-07,166.7358491
1999-08,175.7670032
1999-09,158.1497376
1999-10,164.4449676
1999-11,184.6880218
1999-12,198.2481674
2000-01,216.4379212
2000-02,208.5831202
2000-03,217.6128917
2000-04,201.7828825
2000-05,186.9255765
2000-06,188.1105792
2000-07,178.0621522
2000-08,181.0356381
2000-09,159.7083173
2000-10,150.1571943
2000-11,139.1688523
2000-12,124.5966895
2001-01,149.1332649
2001-02,140.8657369
2001-03,131.7350069
2001-04,131.1562862
2001-05,138.4410119
2001-06,135.7857574
2001-07,124.3441824
2001-08,118.8926658
2001-09,101.3212276
2001-10,109.2239981
2001-11,126.8368671
2001-12,139.6903315
2002-01,149.2285786
2002-02,153.351679
2002-03,162.942988
2002-04,158.1996512
2002-05,149.1407574
2002-06,134.1301737
2002-07,131.3319714
2002-08,129.2456734
2002-09,113.3181493
2002-10,118.7179571
2002-11,125.9677934
2002-12,111.817959
2003-01,110.2284816
2003-02,104.7374953
2003-03,98.45037593
2003-04,100.6964312
2003-05,102.953587
2003-06,114.8504783
2003-07,126.7214194
2003-08,140.4185576
2003-09,130.4559388
2003-10,144.152317
2003-11,137.605951
2003-12,140.1690864
2004-01,150.4930774
2004-02,155.6702459
2004-03,157.133882
2004-04,150.8894196
2004-05,141.1510918
2004-06,139.6894472
2004-07,136.0974043
2004-08,141.5336975
2004-09,144.0428647
2004-10,141.6256777
2004-11,148.7333408
2004-12,149.8925911
2005-01,159.4649336
2005-02,167.5065778
2005-03,162.1531783
2005-04,157.6803155
2005-05,171.9162567
2005-06,180.2183799
2005-07,191.9974141
2005-08,184.3769599
2005-09,198.7912651
2005-10,185.4845415
2005-11,205.8979761
2005-12,220.65474
2006-01,231.6145911
2006-02,235.8677207
2006-03,235.8268039
2006-04,243.6130192
2006-05,219.0154258
2006-06,220.0818122
2006-07,218.9327428
2006-08,225.2128423
2006-09,237.7679568
2006-10,243.6546557
2006-11,253.2938129
2006-12,263.3163667
2007-01,262.213108
2007-02,257.6604008
2007-03,261.0311697
